Team,Year,Result,Win %,Regular season record,Regular season win %,All-play win %,All-play win % minus Win %,Record,Win Variance,Week of playoff elimination,Differential,Avg differential,Record vs playoff teams,Win % vs playoff teams,Record vs non-playoff teams,Win % vs non-playoff teams,Record vs champion,Win % vs champion,Record vs last place,Win % vs last place,Record vs AceMatthew,Win % vs AceMatthew,Record vs BROsenzweig,Win % vs BROsenzweig,Record vs JacobRosenzweig,Win % vs JacobRosenzweig,Record vs LWebs53,Win % vs LWebs53,Record vs Oliverwkw,Win % vs Oliverwkw,Record vs plehv79,Win % vs plehv79,Record vs shmuel256,Win % vs shmuel256,Record vs stevenb123,Win % vs stevenb123,Points,Avg points,Points against,Avg points against,Max PF,Avg max PF,Efficiency,Points from QBs,Points from WRs,Points from TEs,Points from RBs,% of points from QBs,% of points from WRs,% of points from TEs,% of points from RBs,Drafting skill,Trading skill,Add/Drop skill,Times Brosenzweig,Times Sisenzweig,Times Highest score?,Times Lowest score?,Times Narrowest victory?,Times Largest blowout?,Times Most efficient?,Times Least efficient?,Times Top half of league?,Times One-man army?,Times Most bench points?,Times Most injured?,Playoff appearance streak,Winning season streak,Average weekly starter turnover,Average weekly roster turnover,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams among rostered players,Stacks,Number of rookies started,Number of rookies rostered,% of players drafted,% of 3rd year+ players drafted,Player average age,Team age including picks,Difference between highest and lowest starters,Number of donuts,Number of starter donuts,Number of players under 10,Number of starters under 10,Number of players over 20,Number of starters over 20,Number of players over 30,Number of starters over 30,Number of players over 40,Number of starters over 40,Number of players over 50,Number of starters over 50,% of starters boom,% of starters upper quartile,% of starters middle 50%,% of starters lower quartile,% of starters bust,Number of cuffs rostered,Number of cuffs started,Startup draft players remaining,Tanking,Losses from hardship,Losses from byes,Wins from byes,Losses from hardship (2-sided),Wins from hardship (2-sided),Weeks of injuries,Weeks suspensions,Weeks of starter injuries,Weeks of starter suspensions,Hardship,Starter-adjusted Hardship,Luck,Draft Value,3-year roster retention rate,Number of first round picks made,Total number of picks made,Offseason starter turnover,Inseason starter turnover,Offseason roster turnover,Inseason roster turnover,Number of Add/Drops,Number of waiver adds,Number of free agency adds,Number of pure drops,Offseason trades,Inseason trades,Total trades,Total transactions,Amount of FAAB spent,Future draft capital,Change in win % from previous season
LWebs53,2022,Champion,0.8235,12-3,0.8,0.6891,-0.1344,14-3,-0.0,0.0,425.18,25.01,5-3,0.625,9-0,1.0,0-0,0.0,2-0,1.0,2-0,1.0,1-1,0.5,3-0,1.0,,,2-1,0.6667,2-0,1.0,2-0,1.0,2-1,0.6667,2545.16,149.72,2119.98,124.7,3027.1,178.06,0.8408,537.6,1037.06,319.3,646.2,0.2116,0.4083,0.1257,0.2544,48.4,59.7,33.7,0,0,5,0,3,6,2,2,13,2,3,1,In Progress,In Progress,2.94,3.41,7,9,11,2,9,22,25,5,4,6,1,2,2,3,2,2,1,1,16,27,15,1,7,25.0,26.3,27.9388,27.008823529411764,51.0,26,1,166,35,64,49,20,17,3,2,1,1,15.7,16.3,46.4,11.8,9.8,9,3,3,-0.1648,0,1,0,0,1,40,0,15,0,299.1,146.388,3.0139,0.3333,0.0,0,3,2,10,19,20.0,89,14,58,17,5,4,9,98,91.0,0.9,0.1764
LWebs53,2023,Champion,0.7059,10-5,0.6667,0.6975,-0.0084,12-5,-1.0,0.0,178.88,10.52,7-1,0.875,5-4,0.5556,0-0,0.0,1-1,0.5,1-1,0.5,2-0,1.0,1-1,0.5,,,2-0,1.0,3-0,1.0,2-1,0.6667,1-2,0.3333,2465.28,145.02,2286.4,134.49,3070.76,180.63,0.8028,526.54,1096.76,231.7,605.28,0.214,0.4458,0.0942,0.246,52.5,45.1,30.7,1,0,3,1,4,2,3,1,13,3,5,3,4,4,2.88,3.24,4,8,9,3,12,19,21,7,3,4,1,2,1,2,2,2,1,2,15,27,33,1,7,14.8,9.5,27.0776,26.936470588235295,42.46,10,0,163,39,71,43,11,9,3,3,0,0,11.8,16.3,51.0,16.3,4.6,7,1,4,-0.1404,2,1,0,2,0,61,0,33,0,761.192,373.6248,-1.2034,0.2778,0.037,0,2,8,10,23,20.0,86,12,53,21,6,7,13,99,117.0,0.76,-0.11760000000000004
LWebs53,2024,6th,0.4118,7-8,0.4667,0.3361,-0.0757,7-10,-0.0,15.0,-224.5,-13.21,4-5,0.4444,3-5,0.375,2-0,1.0,1-2,0.3333,1-1,0.5,1-1,0.5,1-2,0.3333,,,1-2,0.3333,1-1,0.5,0-3,0.0,2-0,1.0,2305.42,135.61,2529.92,148.82,2902.7,170.75,0.7942,601.82,1032.6,219.8,451.2,0.261,0.4479,0.0953,0.1957,56.0,50.2,39.2,0,1,0,2,3,1,1,1,5,0,0,6,0,0,2.88,3.12,4,11,8,4,8,33,14,7,3,4,1,2,1,2,2,3,1,1,17,26,10,3,10,12.9,0.0,26.2371,24.568823529411766,32.5,35,2,225,64,54,39,7,6,1,0,0,0,8.2,14.1,46.5,14.1,17.1,12,1,1,0.3929,4,1,2,1,0,98,0,81,0,1154.34,616.2256,-2.4382,0.8111,,2,3,11,10,33,21.0,52,32,10,10,11,6,17,69,84.0,2.12,-0.2941
LWebs53,2025,7th,0.2941,4-11,0.2667,0.2689,-0.0252,5-12,-0.0,11.0,-328.14,-19.3,0-9,0.0,5-3,0.625,0-3,0.0,1-1,0.5,0-2,0.0,0-2,0.0,1-2,0.3333,,,1-1,0.5,3-0,1.0,0-3,0.0,0-2,0.0,2127.38,125.14,2455.52,144.44,2618.4,154.02,0.8125,510.38,767.2,377.2,472.6,0.2399,0.3606,0.1773,0.2222,58.5,39.2,42.5,0,1,0,3,2,1,1,0,1,2,1,4,0,0,2.76,2.12,6,8,6,6,8,25,10,7,2,4,1,1,1,2,2,2,1,1,19,26,12,4,13,18.8,5.9,25.7147,23.74235294117647,44.3,53,3,273,75,38,28,4,3,1,1,0,0,4.8,12.5,52.4,18.5,11.9,10,5,1,0.5485,3,0,0,1,0,89,0,38,0,773.43,401.8964,0.287,0.5595,,1,3,12,12,27,16.0,38,23,2,13,10,5,15,53,91.0,2.36,-0.11770000000000003
LWebs53,2026,,0.0,0-2,0.0,0.0714,0.0714,0-2,-0.0,2.0,-135.56,-67.78,,,,,,,,,0-0,0.0,0-0,0.0,0-1,0.0,,,0-0,0.0,0-0,0.0,0-1,0.0,0-0,0.0,198.76,99.38,334.32,167.16,247.3,123.65,0.8037,63.66,67.8,24.7,42.6,0.3203,0.3411,0.1243,0.2143,,39.1,39.4,0,0,0,1,0,0,0,0,0,1,0,0,,0,3.0,10.0,2,5,2,1,5,19,5,4,2,3,1,1,1,1,1,2,1,1,9,21,2,1,15,46.9,20.0,24.275,22.884999999999998,24.7,8,0,41,13,2,1,0,0,0,0,0,0,0.0,5.0,45.0,40.0,10.0,0,0,0,0.9513,0,0,0,0,0,9,0,0,0,24.12,0.0,0.1971,2.7734,,1,12,12,0,35,3.0,13,5,0,8,9,0,9,22,88.0,2.76,-0.2941
Oliverwkw,2020,2nd,0.625,9-5,0.6429,0.5982,-0.0268,10-6,1.0,0.0,89.84,5.62,3-5,0.375,7-1,0.875,1-2,0.3333,2-0,1.0,1-1,0.5,2-0,1.0,2-0,1.0,0-2,0.0,,,2-1,0.6667,1-2,0.3333,2-0,1.0,2369.72,148.11,2279.88,142.49,2740.64,171.29,0.8647,698.28,779.12,230.82,661.5,0.2947,0.3288,0.0974,0.2791,51.9,47.9,47.6,0,0,3,1,2,2,3,2,10,0,3,7,In Progress,In Progress,2.4,1.27,3,8,8,5,3,15,14,6,2,2,1,1,1,2,1,1,1,1,16,21,9,5,8,57.1,58.3,25.2562,23.389375,40.1,5,2,106,37,58,48,11,10,1,1,0,0,13.9,16.7,45.8,14.6,9.0,7,4,12,0.2038,2,1,0,1,0,52,0,41,0,785.102,401.2908,-0.7786,0.0,0.3158,0,0,,6,,16.0,18,1,15,2,0,3,3,21,,1.9,
Oliverwkw,2021,4th,0.5882,10-5,0.6667,0.605,0.0168,10-7,-0.0,0.0,174.66,10.27,4-4,0.5,6-3,0.6667,1-2,0.3333,2-0,1.0,1-1,0.5,2-1,0.6667,1-1,0.5,1-1,0.5,,,2-1,0.6667,2-0,1.0,1-2,0.3333,2577.12,151.6,2402.46,141.32,2971.06,174.77,0.8674,692.72,1017.2,216.5,645.7,0.2693,0.3955,0.0842,0.251,51.2,55.3,36.3,2,1,2,0,2,3,4,2,11,3,1,0,In Progress,In Progress,2.35,1.71,4,9,10,3,8,13,17,5,3,4,1,1,1,2,1,1,1,1,16,22,5,3,5,56.0,50.0,25.8988,23.89294117647059,41.02,13,1,156,42,65,54,17,17,1,1,0,0,15.7,17.0,43.8,19.0,4.6,12,5,8,0.2316,2,0,1,0,1,66,0,51,0,895.864,554.5672,-0.7943,0.5,0.1304,1,4,4,6,16,12.0,29,3,18,8,0,4,4,33,,2.01,-0.036800000000000055
Oliverwkw,2022,3rd,0.5882,9-6,0.6,0.6387,0.0505,10-7,-0.5,0.0,145.7,8.57,3-6,0.3333,7-1,0.875,1-2,0.3333,2-0,1.0,2-0,1.0,1-3,0.25,2-0,1.0,1-2,0.3333,,,2-0,1.0,1-1,0.5,1-1,0.5,2428.8,142.87,2283.1,134.3,2839.86,167.05,0.8553,531.34,743.6,195.8,958.06,0.2188,0.3062,0.0806,0.3945,46.0,49.1,37.4,1,0,5,1,2,5,4,2,11,2,2,6,In Progress,In Progress,2.24,1.82,4,10,5,4,8,18,13,5,3,4,1,2,1,2,2,2,1,1,16,23,25,4,6,44.0,44.4,26.4329,24.58764705882353,33.8,18,2,152,45,55,46,11,10,0,0,0,0,11.2,15.8,50.7,15.8,6.6,5,2,7,0.1331,1,1,1,1,0,71,0,34,0,700.6187,326.0596,0.263,0.5333,0.04,1,3,6,6,20,18.0,34,12,10,12,3,5,8,42,58.0,1.46,0.0
Oliverwkw,2023,3rd,0.7059,11-4,0.7333,0.6303,-0.0756,12-5,1.5,0.0,274.6,16.15,3-5,0.375,9-0,1.0,0-2,0.0,3-0,1.0,2-0,1.0,2-0,1.0,3-0,1.0,0-2,0.0,,,1-2,0.3333,2-1,0.6667,2-0,1.0,2384.42,140.26,2109.82,124.11,2886.2,169.78,0.8261,586.56,791.76,231.5,769.6,0.2465,0.3328,0.0973,0.3234,64.1,54.0,30.2,0,0,2,1,3,1,3,1,12,1,1,4,4,4,2.06,1.94,5,9,6,3,8,15,17,6,3,4,1,2,1,2,1,2,1,2,15,21,41,2,7,46.4,38.9,26.2888,24.253529411764706,46.8,20,0,201,46,64,51,4,3,3,2,1,0,9.2,24.2,42.5,14.4,9.8,8,1,6,0.2066,2,0,1,1,2,64,0,39,0,741.5463,466.3729,-0.5869,1.1944,0.1481,0,6,4,14,18,13.0,42,11,16,15,3,11,14,56,71.0,1.76,0.11770000000000003
Oliverwkw,2024,7th,0.2941,3-12,0.2,0.3277,0.0336,5-12,-0.0,10.0,-195.04,-11.47,1-7,0.125,4-5,0.4444,0-2,0.0,1-2,0.3333,1-2,0.3333,0-2,0.0,1-2,0.3333,2-1,0.6667,,,1-1,0.5,0-2,0.0,0-2,0.0,2341.84,137.76,2536.88,149.23,2841.62,167.15,0.8241,559.54,733.4,126.2,922.7,0.2389,0.3132,0.0539,0.394,47.6,41.8,44.0,1,0,1,6,1,2,3,2,5,1,0,4,0,0,3.24,1.76,4,10,7,3,7,15,13,7,2,4,1,1,1,2,2,2,1,2,19,23,1,3,17,51.6,11.1,24.2294,23.08058823529412,39.3,59,4,257,61,52,42,6,6,0,0,0,0,8.2,14.7,48.8,10.6,17.6,5,0,1,0.5748,1,0,1,1,0,81,0,40,0,619.457,340.232,0.1844,2.8567,,0,12,13,10,33,16.0,15,7,1,7,10,7,17,32,58.0,2.58,-0.4118
Oliverwkw,2025,8th,0.2941,3-12,0.2,0.4202,0.1261,5-12,-2.0,11.0,-176.58,-10.39,0-8,0.0,5-4,0.5556,0-2,0.0,0-0,0.0,0-2,0.0,0-2,0.0,2-2,0.5,1-1,0.5,,,2-1,0.6667,0-2,0.0,0-2,0.0,2330.98,137.12,2507.56,147.5,2913.62,171.39,0.8,546.28,771.4,154.2,859.1,0.2344,0.3309,0.0662,0.3686,45.2,45.8,34.6,0,0,1,2,0,2,2,2,6,3,1,7,0,0,3.12,1.88,5,9,8,4,9,16,13,7,2,4,1,2,1,2,2,2,1,1,19,22,14,5,11,53.3,41.7,24.6894,23.230588235294118,38.96,26,5,222,63,48,30,7,7,1,1,0,0,10.0,8.2,56.5,11.2,14.1,6,2,1,0.4782,2,0,0,1,0,91,9,48,9,931.098,512.6408,-1.6264,1.1944,,4,6,6,6,21,12.0,30,19,0,11,8,6,14,44,92.0,1.93,0.0
Oliverwkw,2026,,0.0,0-2,0.0,0.2857,0.2857,0-2,-0.0,2.0,-86.04,-43.02,,,,,,,,,0-0,0.0,0-1,0.0,0-0,0.0,0-0,0.0,,,0-0,0.0,0-0,0.0,0-1,0.0,279.54,139.77,365.58,182.79,327.2,163.6,0.8543,67.14,104.8,12.4,95.2,0.2402,0.3749,0.0444,0.3406,,46.1,38.7,0,0,0,0,0,0,1,0,0,0,0,0,,0,4.5,8.5,2,5,5,2,9,9,11,4,1,4,1,4,1,3,1,1,1,2,13,21,0,0,4,40.6,36.4,25.36,24.2,22.56,8,0,34,5,5,4,0,0,0,0,0,0,0.0,15.0,75.0,5.0,5.0,2,0,0,0.352,0,0,0,0,0,10,0,8,0,117.636,57.5656,-0.5528,0.4444,,2,2,10,8,30,2.0,16,7,1,8,10,0,10,26,52.0,1.28,-0.2941
plehv79,2020,4th,0.5625,9-5,0.6429,0.6071,0.0446,9-7,0.5,0.0,110.16,6.89,4-4,0.5,5-3,0.625,1-1,0.5,2-0,1.0,2-0,1.0,0-2,0.0,1-1,0.5,2-1,0.6667,1-2,0.3333,,,1-1,0.5,2-0,1.0,2411.06,150.69,2300.9,143.81,2785.16,174.07,0.8657,710.04,1107.62,122.1,466.3,0.2951,0.4603,0.0507,0.1938,53.0,46.6,46.1,1,0,4,2,1,4,1,2,10,1,2,1,In Progress,1,2.2,0.93,3,8,5,4,5,12,11,4,2,4,1,1,1,1,1,2,1,1,15,22,17,4,9,66.7,77.8,23.8481,22.48625,53.4,15,3,121,39,67,50,13,12,3,2,1,1,12.7,20.4,50.0,9.2,7.7,2,1,14,0.2002,0,0,0,0,0,40,0,21,0,366.11,211.46,1.0043,0.0,0.2105,0,0,,8,,12.0,11,0,10,1,0,3,3,14,,1.65,
plehv79,2021,3rd,0.4706,7-8,0.4667,0.4874,0.0168,8-9,-0.0,0.0,-21.98,-1.29,3-6,0.3333,5-3,0.625,0-2,0.0,2-0,1.0,1-1,0.5,1-1,0.5,1-1,0.5,2-2,0.5,1-2,0.3333,,,2-0,1.0,0-2,0.0,2340.84,137.7,2362.82,138.99,2858.04,168.12,0.819,618.04,951.9,195.8,575.1,0.264,0.4066,0.0836,0.2457,48.5,54.8,51.7,0,0,1,1,2,1,0,1,8,2,2,0,2,0,1.82,0.59,3,8,4,2,4,13,5,2,3,3,1,1,1,1,1,1,1,1,13,19,27,0,1,62.5,66.7,25.4606,23.693529411764708,46.3,14,3,134,49,57,43,14,13,2,2,1,1,13.3,11.3,50.7,16.0,8.7,2,0,12,0.305,4,1,0,3,2,75,0,56,0,1224.5427,673.5384,-2.4305,0.5,0.2083,0,3,8,8,17,0.0,7,0,2,5,2,0,2,9,,1.9,-0.09189999999999998
plehv79,2022,7th,0.2353,3-12,0.2,0.2941,0.0588,4-13,-0.0,11.0,-277.42,-16.32,0-8,0.0,4-5,0.4444,0-2,0.0,0-0,0.0,0-2,0.0,0-2,0.0,2-1,0.6667,0-2,0.0,0-2,0.0,,,2-2,0.5,0-2,0.0,1964.42,115.55,2241.84,131.87,2493.04,146.65,0.788,485.72,1018.1,188.6,272.0,0.2473,0.5183,0.096,0.1385,56.5,46.7,42.8,0,0,0,5,0,0,3,2,3,5,2,2,0,0,2.71,2.18,3,12,9,4,5,18,17,6,3,4,1,2,1,2,2,2,1,1,18,23,2,8,15,32.0,30.8,24.7024,23.07764705882353,34.14,33,5,184,55,38,27,8,7,0,0,0,0,9.0,10.3,55.2,10.3,15.2,5,2,4,0.5843,4,0,0,2,0,59,10,33,10,766.048,499.256,-2.0987,1.0536,0.0833,0,5,8,12,22,23.0,31,7,14,10,5,8,13,44,41.0,2.91,-0.2353
plehv79,2023,2nd,0.5882,9-6,0.6,0.521,-0.0672,10-7,1.0,0.0,63.28,3.72,3-5,0.375,7-2,0.7778,0-3,0.0,2-0,1.0,2-0,1.0,1-2,0.3333,2-0,1.0,0-3,0.0,2-1,0.6667,,,1-1,0.5,2-0,1.0,2270.9,133.58,2207.62,129.86,2744.92,161.47,0.8273,635.5,847.3,188.5,599.6,0.2798,0.3731,0.083,0.264,55.6,46.5,36.4,0,0,2,2,4,2,2,0,9,0,0,5,In Progress,1,1.94,1.53,4,6,5,4,4,11,17,5,2,3,1,1,1,2,2,2,1,1,13,22,12,2,8,32.1,21.1,25.9353,24.671176470588232,33.58,15,2,192,42,47,33,9,7,1,0,0,0,8.5,11.8,58.8,13.7,7.2,4,0,4,0.2564,3,0,1,1,1,68,0,42,0,764.176,312.0904,-0.227,1.2095,0.0769,2,5,12,4,23,12.0,18,5,3,10,10,4,14,32,125.0,0.99,0.35289999999999994
plehv79,2024,4th,0.4706,8-7,0.5333,0.5798,0.1092,8-9,1.0,0.0,-1.82,-0.11,3-6,0.3333,5-3,0.625,0-3,0.0,2-0,1.0,1-1,0.5,1-3,0.25,2-0,1.0,1-1,0.5,1-1,0.5,,,2-0,1.0,0-3,0.0,2612.86,153.7,2614.68,153.8,3158.2,185.78,0.8273,705.66,943.2,188.5,775.5,0.2701,0.361,0.0721,0.2968,50.5,51.1,39.6,1,1,1,0,3,3,4,1,11,2,1,7,2,0,2.41,1.12,4,9,6,3,5,11,17,6,2,3,1,1,1,2,1,1,1,1,14,23,15,2,7,35.5,21.1,26.4671,25.505294117647058,37.2,23,4,198,47,60,45,8,7,1,1,0,0,5.9,21.3,52.1,14.2,6.5,6,1,4,0.0857,2,0,1,2,1,102,0,55,0,914.212,520.1303,-1.4951,0.5111,,0,3,7,6,18,13.0,23,11,3,9,6,2,8,31,96.0,1.28,-0.11759999999999993
plehv79,2025,5th,0.3529,6-9,0.4,0.1429,-0.21,6-11,3.0,14.0,-516.88,-30.4,3-6,0.3333,3-5,0.375,2-0,1.0,1-2,0.3333,0-2,0.0,0-3,0.0,2-0,1.0,0-3,0.0,1-2,0.3333,,,2-0,1.0,1-1,0.5,1862.14,109.54,2379.02,139.94,2312.36,136.02,0.8053,584.64,715.6,280.7,281.2,0.314,0.3843,0.1507,0.151,50.7,43.8,52.0,0,2,0,7,3,0,1,3,1,6,0,3,0,0,2.41,1.88,3,10,7,6,3,15,12,10,3,6,1,1,1,2,2,4,1,1,17,22,35,11,18,16.1,10.0,24.0994,22.572352941176472,31.9,74,5,293,79,28,23,3,2,0,0,0,0,3.6,10.1,44.4,18.3,23.7,6,2,1,0.9102,0,0,1,0,3,84,0,67,0,609.064,419.028,3.5288,1.5012,,1,6,14,10,43,17.0,29,20,1,8,15,6,21,50,258.0,3.64,-0.11770000000000003
plehv79,2026,,0.0,0-2,0.0,0.0714,0.0714,0-2,-0.0,2.0,-85.86,-42.93,,,,,,,,,0-0,0.0,0-0,0.0,0-1,0.0,0-0,0.0,0-0,0.0,,,0-1,0.0,0-0,0.0,226.08,113.04,311.94,155.97,265.1,132.55,0.8528,68.78,102.3,10.5,44.5,0.3042,0.4525,0.0464,0.1968,,38.2,38.3,0,0,0,1,0,0,1,0,0,1,0,1,,0,3.0,6.0,2,5,2,2,2,10,10,9,2,4,1,1,1,1,1,2,1,2,10,21,2,2,8,29.0,15.4,24.54,22.95,33.8,13,1,39,11,3,3,1,1,0,0,0,0,5.0,5.0,45.0,20.0,25.0,0,0,1,0.9463,0,0,0,0,0,11,0,3,0,37.34,17.728,0.1248,1.7778,,2,5,10,2,24,0.0,8,5,0,3,5,0,5,13,43.0,3.44,-0.3529
shmuel256,2020,Champion,0.75,10-4,0.7143,0.6429,-0.1071,12-4,0.5,0.0,358.34,22.4,6-2,0.75,6-2,0.75,0-0,0.0,2-0,1.0,1-1,0.5,2-0,1.0,1-1,0.5,3-0,1.0,2-1,0.6667,1-1,0.5,,,2-0,1.0,2501.88,156.37,2143.54,133.97,2944.18,184.01,0.8498,581.38,855.2,257.4,802.9,0.2328,0.3425,0.1031,0.3216,41.3,57.1,37.3,0,0,2,0,2,2,2,1,11,2,4,0,1,1,2.33,2.27,6,9,8,2,6,23,17,3,2,3,1,1,1,2,1,2,1,1,18,25,1,3,8,38.1,50.0,26.1288,23.89,48.3,1,0,114,28,65,49,15,11,4,3,1,1,14.1,19.7,54.9,8.5,2.8,3,0,7,0.1011,0,0,0,0,1,21,0,10,0,242.9,62.652,2.6214,0.0,0.0952,0,0,,8,,26.0,38,4,24,10,0,6,6,44,,2.17,
shmuel256,2021,5th,0.4118,5-10,0.3333,0.4286,0.0168,7-10,-2.0,14.0,-102.94,-6.06,2-6,0.25,5-4,0.5556,1-1,0.5,0-0,0.0,2-2,0.5,1-1,0.5,2-1,0.6667,1-1,0.5,0-2,0.0,0-2,0.0,,,1-1,0.5,2272.36,133.67,2375.3,139.72,2724.4,160.26,0.8341,418.66,1072.6,183.3,597.8,0.1842,0.472,0.0807,0.2631,50.8,55.3,40.7,0,1,1,2,2,0,2,3,7,1,5,2,0,0,2.41,1.88,6,8,9,2,7,18,17,3,5,5,1,1,1,2,2,2,1,1,20,27,11,8,9,28.0,33.3,25.0512,22.454705882352943,33.74,16,0,161,48,52,39,8,5,0,0,0,0,7.8,17.0,51.0,13.1,11.1,6,3,3,0.6088,1,0,0,0,1,61,0,33,0,744.12,310.2616,1.1372,0.7817,0.125,2,5,4,12,15,27.0,25,5,13,7,2,6,8,33,,3.07,-0.3382
shmuel256,2022,5th,0.4118,6-9,0.4,0.479,0.0672,7-10,-1.5,14.0,-4.32,-0.25,2-6,0.25,5-4,0.5556,0-2,0.0,2-2,0.5,1-2,0.3333,1-1,0.5,2-0,1.0,0-2,0.0,1-1,0.5,2-2,0.5,,,0-2,0.0,2253.24,132.54,2257.56,132.8,2829.04,166.41,0.7965,420.94,1007.2,201.5,623.6,0.1868,0.447,0.0894,0.2768,49.9,51.4,38.4,0,1,2,3,2,3,2,2,9,1,2,3,0,0,2.76,1.24,5,9,9,3,7,16,10,4,2,3,1,1,1,1,1,2,1,1,18,21,12,4,7,28.0,6.7,25.9206,23.131176470588237,44.2,11,0,149,53,50,36,15,12,3,2,0,0,11.1,12.4,50.3,15.0,11.1,3,0,1,0.338,1,0,0,1,0,57,16,38,16,841.128,405.3904,-1.9998,0.8444,0.2,1,4,6,14,16,18.0,15,2,3,10,6,10,16,31,30.0,2.17,0.0
shmuel256,2023,4th,0.5882,10-5,0.6667,0.5294,-0.0588,10-7,-0.5,0.0,127.34,7.49,3-5,0.375,7-2,0.7778,1-2,0.3333,2-0,1.0,2-1,0.6667,2-0,1.0,2-0,1.0,1-2,0.3333,1-2,0.3333,1-1,0.5,,,1-1,0.5,2306.2,135.66,2178.86,128.17,3054.66,179.69,0.755,531.4,969.7,222.9,582.2,0.2304,0.4205,0.0967,0.2524,45.2,47.4,40.8,0,1,3,0,2,3,2,3,7,2,7,5,In Progress,In Progress,2.71,2.0,8,7,9,3,13,17,15,5,3,5,1,3,1,2,1,2,1,1,16,22,21,1,8,11.1,5.6,27.1512,24.03705882352941,35.0,8,3,157,48,72,40,15,8,1,1,0,0,10.5,14.4,45.1,19.0,11.1,3,0,2,0.2649,3,0,1,3,1,72,3,63,3,1061.652,618.2864,-3.6667,0.5833,0.2857,0,2,8,12,15,21.0,23,9,8,6,9,13,22,45,112.0,2.74,0.17639999999999995
shmuel256,2024,2nd,0.7059,11-4,0.7333,0.6639,-0.042,12-5,-0.5,0.0,179.96,10.59,3-5,0.375,9-0,1.0,0-3,0.0,2-0,1.0,2-0,1.0,3-0,1.0,2-0,1.0,3-0,1.0,2-0,1.0,0-2,0.0,,,0-3,0.0,2690.94,158.29,2510.98,147.7,3443.76,202.57,0.7814,511.96,1104.38,245.6,824.0,0.1906,0.4112,0.0914,0.3068,55.7,48.5,33.0,1,0,2,0,4,2,1,4,13,0,7,5,In Progress,In Progress,2.65,1.59,5,10,5,4,7,16,16,6,4,7,1,1,1,3,2,3,1,1,16,22,10,0,6,13.3,8.0,28.2394,26.09941176470588,37.36,16,1,185,44,80,49,11,7,4,2,0,0,8.8,19.4,47.6,16.5,7.6,7,0,1,0.0094,4,1,0,1,0,83,0,51,0,1178.932,626.7816,-3.9586,0.25,,0,2,9,6,18,13.0,20,9,2,9,10,10,20,40,51.0,1.8,0.11770000000000003
shmuel256,2025,Champion,0.8235,12-3,0.8,0.7227,-0.1008,14-3,1.0,0.0,592.32,34.84,7-1,0.875,7-2,0.7778,0-0,0.0,2-0,1.0,2-1,0.6667,2-0,1.0,2-0,1.0,3-0,1.0,2-0,1.0,0-2,0.0,,,3-0,1.0,2847.28,167.49,2254.96,132.64,3338.8,196.4,0.8528,557.08,942.0,243.0,1100.2,0.196,0.3314,0.0855,0.3871,41.0,41.6,45.0,1,0,6,2,2,4,7,1,13,1,3,0,3,In Progress,2.29,1.76,5,10,7,5,6,19,14,7,3,6,1,1,1,3,1,2,1,2,16,21,21,2,7,15.6,9.1,27.5994,26.83058823529412,41.76,26,4,229,41,75,60,13,13,2,2,0,0,14.7,20.0,45.3,11.2,8.8,10,3,0,-0.1156,1,1,0,1,0,66,0,46,0,964.488,537.824,-0.186,0.9167,,0,3,6,10,20,12.0,25,13,3,9,13,9,22,47,109.0,1.29,0.11760000000000004
shmuel256,2026,,1.0,2-0,1.0,0.7857,-0.2143,2-0,1.5,0.0,115.82,57.91,,,,,,,,,0-0,0.0,0-0,0.0,0-0,0.0,1-0,1.0,0-0,0.0,1-0,1.0,,,0-0,0.0,346.34,173.17,230.52,115.26,405.84,202.92,0.8534,70.84,113.0,19.8,142.7,0.2045,0.3263,0.0572,0.412,,46.1,36.1,0,0,0,0,0,1,0,0,2,0,0,0,,4,2.5,7.0,2,4,4,1,7,11,10,4,3,5,1,2,1,2,1,2,1,1,7,17,5,0,6,28.1,13.6,27.715,26.159999999999997,28.3,2,0,28,4,9,7,2,2,0,0,0,0,15.0,20.0,60.0,0.0,5.0,0,0,0,-0.0701,0,0,0,0,0,9,0,2,0,62.016,20.328,-0.0237,0.8944,,0,4,8,2,22,2.0,12,3,0,9,8,0,8,20,10.0,1.41,0.1765
